Year,reporting_delay,p
2012,8,0.03158984438359805
2012,9,0.025975642381444636
2012,10,0.021626682136180672
2012,11,0.018201606541999378
2012,12,0.015464952041003876
2012,13,0.013250460376340515
2012,14,0.011438283714258935
2012,15,0.009940426730471975
2012,16,0.008691213068118032
2012,17,0.0076408987885455545
2012,18,0.006751305347369375
2012,19,0.005992777550617329
2012,20,0.005342028496092316
2012,21,0.004780589293670416
2012,22,0.004293678120245572
2012,23,0.003869364529264712
2012,24,0.0034979446043472487
2012,25,0.0031714686490204075
2012,26,0.002883380563032818
2012,27,0.002628239910554564
2012,28,0.002401505849109683
2012,29,0.0021993677834766154
2012,30,0.002018611630805488
2012,31,0.0018565134558888984
2012,32,0.0017107543091982068
2012,33,0.0015793516121601339
2012,34,0.0014606035467529927
2012,35,0.0013530437325149059
2012,36,0.001255404092402091
2012,37,0.0011665842754591334
2012,38,0.0010856263588558096
2012,39,0.001011693823257116
2012,40,9.440540046229595e-4
2012,41,8.820633876942141e-4
2012,42,8.251552329192244e-4
2012,43,7.728291278182311e-4
2012,44,7.246421320702089e-4
2012,45,6.802012476846619e-4
2012,46,6.391569950913286e-4
2012,47,6.011979155920244e-4
2012,48,5.660458524805984e-4
2012,49,5.334518888774537e-4
2012,50,5.03192841207435e-4
2012,51,4.7506822425938904e-4
2012,52,4.4889761767408383e-4
2012,53,4.2451837512224244e-4
2012,54,4.017836268366608e-4
2012,55,3.805605339333949e-4
2012,56,0.00036072875940118413
2012,57,3.421791259992401e-4
2012,58,3.24812435777242e-4
2012,59,3.085384296757337e-4
2012,60,2.932748688081547e-4
2012,61,2.7894672167131653e-4
2012,62,2.654854437640743e-4
2012,63,2.528283379834546e-4
2012,64,2.409179857705124e-4
2012,65,2.2970174034143956e-4
2012,66,2.1913127450157334e-4
2012,67,2.0916217653289867e-4
2012,68,1.9975358849594438e-4
2012,69,1.9086788201670932e-4
2012,70,1.824703672568149e-4
2012,71,1.7452903130593564e-4
2012,72,1.6701430270254762e-4
2012,73,1.5989883919307832e-4
2012,74,1.531573361897655e-4
2012,75,1.4676635369165948e-4
2012,76,1.4070415969777734e-4
2012,77,1.3495058837199704e-4
2012,78,1.294869114205319e-4
2012,79,1.2429572131883505e-4
2012,80,1.1936082517889948e-4
2012,81,1.146671481831246e-4
2012,82,1.102006456296923e-4
2012,83,1.0594822273889224e-4
2012,84,1.0189766146192732e-4
2012,85,9.803755361496009e-5
2012,86,9.435723973296921e-5
2012,87,9.084675310149325e-5
2012,88,8.749676848062968e-5
2012,89,8.42985550855765e-5
2012,90,8.124393343236e-5
2012,91,7.832523569683651e-5
2012,92,7.553526927017249e-5
2012,93,7.286728322533203e-5
2012,94,7.031493743704215e-5
2012,95,6.787227412268427e-5
2012,96,6.553369159390706e-5
2012,97,6.329392002875882e-5
2012,98,6.114799909208236e-5
2012,99,5.909125724801446e-5
2012,100,5.71192926228929e-5
2012,101,5.522795528988989e-5
2012,102,5.341333085839034e-5
2012,103,5.167172526169559e-5
2012,104,4.999965064614317e-5
2012,105,4.8393812273326646e-5
2012,106,4.685109635486574e-5
2012,107,4.5368558746195304e-5
2012,108,4.394341443220068e-5
2012,109,4.257302774328464e-5
2012,110,4.125490324567253e-5
2012,111,3.998667725450521e-5
2012,112,3.8766109922568844e-5
2012,113,3.7591077861429035e-5
2012,114,3.6459567255294384e-5
2012,115,3.5369667431174645e-5
2012,116,3.4319564851856255e-5
2012,117,3.3307537500907184e-5
2012,118,3.2331949631382975e-5
2012,119,3.139124685214875e-5
2012,120,3.048395152778492e-5
2012,121,2.9608658469917215e-5
2012,122,2.876403089953171e-5
2012,123,2.7948796661403073e-5
2012,124,2.7161744673209164e-5
2012,125,2.6401721593223285e-5
2012,126,2.566762869168782e-5
2012,127,2.4958418912086532e-5
2012,128,2.4273094109555855e-5
2012,129,2.3610702454613194e-5
2012,130,2.297033599124802e-5
2012,131,2.2351128339214808e-5
2012,132,2.175225253110181e-5
2012,133,2.1172918975424644e-5
2012,134,2.061237353761552e-5
2012,135,2.0069895731355723e-5
2012,136,1.954479701322778e-5
2012,137,1.903641917415422e-5
2012,138,1.8544132821543044e-5
2012,139,1.8067335946478547e-5
2012,140,1.760545257068275e-5
2012,141,1.715793146833281e-5
2012,142,1.6724244958150404e-5
2012,143,1.630388776148675e-5
2012,144,1.5896375922413422e-5
2012,145,1.5501245786092643e-5
2012,146,1.5118053031945492e-5
2012,147,1.4746371758366425e-5
2012,148,1.4385793615941901e-5
2012,149,1.4035926986329179e-5
2012,150,1.3696396204133355e-5
2012,151,1.336684081929097e-5
2012,152,1.3046914897627215e-5
2012,153,1.2736286357400137e-5
2012,154,1.2434636339783446e-5
2012,155,1.2141658611366939e-5
2012,156,1.185705899687231e-5
2012,157,1.1580554840394245e-5
2012,158,1.1311874493579322e-5
2012,159,1.1050756829252986e-5
2012,160,1.079695077909406e-5
2012,161,1.0550214894041994e-5
2012,162,1.0310316926199944e-5
2012,163,1.0077033431070522e-5
2012,164,9.85014938903091e-6
2012,165,9.629457845017333e-6
2012,166,9.414759565449917e-6
2012,167,9.205862711485846e-6
2012,168,9.002582527740413e-6
2012,169,8.80474104566654e-6
2012,170,8.612166800829064e-6
2012,171,8.424694563353732e-6
2012,172,8.242165080871876e-6
2012,173,8.064424833320039e-6
2012,174,7.89132579899e-6
2012,175,7.722725231257797e-6
2012,176,7.5584854454533695e-6
2012,177,7.398473615360439e-6
2012,178,7.242561578866432e-6
2012,179,7.090625652306514e-6
2012,180,6.942546453072217e-6
2012,181,6.798208730077544e-6
2012,182,6.65750120169764e-6
2012,183,6.52031640081584e-6
2012,184,6.386550526634468e-6
2012,185,6.25610330292245e-6
2012,186,6.1288778423910715e-6
2012,187,6.004780516904721e-6
2012,188,5.883720833248833e-6
2012,189,5.765611314192349e-6
2012,190,5.650367384594774e-6
2012,191,5.537907262321572e-6
2012,192,5.42815185374333e-6
2012,193,5.321024653605603e-6
2012,194,5.216451649067652e-6
2012,195,5.114361227717801e-6
2012,196,5.014684089383524e-6
2012,197,4.917353161563003e-6
2012,198,4.822303518313859e-6
2012,199,4.729472302442741e-6
2012,200,4.638798650847311e-6
2013,1,0.0017424816651798426
2013,2,0.0058916132673946554
2013,3,0.009892755541433037
2013,4,0.013098878122674873
2013,5,0.015495391260222082
2013,6,0.017211363621563353
2013,7,0.018388774986017858
2013,8,0.019149958029762663
2013,9,0.019592816002889472
2013,10,0.019793566967406494
2013,11,0.019810940686323372
2013,12,0.019690064458644983
2013,13,0.019465632301027522
2013,14,0.019164369060567184
2013,15,0.018806909423528254
2013,16,0.018409220814262467
2013,17,0.01798367997928046
2013,18,0.017539889404998378
2013,19,0.017085298859961656
2013,20,0.016625680803672955
2013,21,0.01616549584943312
2013,22,0.015708175135452744
2013,23,0.015256339579477501
2013,24,0.014811970933889784
2013,25,0.01437654583455113
2013,26,0.013951141286758768
2013,27,0.013536517992146904
2013,28,0.013133186400127516
2013,29,0.01274145922826968
2013,30,0.01236149333768416
2013,31,0.011993323199218656
2013,32,0.011636887690973003
2013,33,0.011292051588388105
2013,34,0.010958622816270277
2013,35,0.010636366306348078
2013,36,0.010325015128508497
2013,37,0.010024279426888777
2013,38,0.009733853584602568
2013,39,0.009453421956318788
2013,40,0.0091826634410676
2013,41,0.008921255114608844
2013,42,0.008668875098461627
2013,43,0.00842520480894461
2013,44,0.008189930702522356
2013,45,0.007962745611999012
2013,46,0.007743349750558088
2013,47,0.007531451446462119
2013,48,0.007326767659726563
2013,49,0.0071290243227377596
2013,50,0.00693795653917419
2013,51,0.006753308669379178
2013,52,0.006574834325254342
2013,53,0.006402296293582919
2013,54,0.006235466403278983
2013,55,0.006074125349254225
2013,56,0.0059180624832871126
2013,57,0.005767075580379401
2013,58,0.005620970587518933
2013,59,0.005479561360476036
2013,60,0.005342669393194681
2013,61,0.005210123543459586
2013,62,0.00508175975779398
2013,63,0.00495742079794297
2013,64,0.0048369559708028856
2013,65,0.004720220863249117
2013,66,0.0046070770829793025
2013,67,0.004497392006212682
2013,68,0.004391038532860161
2013,69,0.004287894849594395
2013,70,0.0041878442010982245
2013,71,0.0040907746696472345
2013,72,0.003996578963083203
2013,73,0.0039051542111557605
2013,74,0.0038164017701464072
2013,75,0.0037302270356392797
2013,76,0.0036465392632644093
2013,77,0.0035652513972098767
2013,78,0.0034862799062773016
2013,79,0.0034095446272395685
2013,80,0.0033349686152491834
2013,81,0.003262478001039237
2013,82,0.0031920018546560814
2013,83,0.003123472055462491
2013,84,0.0030568231681521473
2013,85,0.0029919923245198487
2013,86,0.002928919110737016
2013,87,0.002867545459888013
2013,88,0.002807815549529825
2013,89,0.0027496757040449634
2013,90,0.002693074301565364
2013,91,0.0026379616852531813
2013,92,0.002584290078732523
2013,93,0.0025320135054745555
2013,94,0.002481087711946576
2013,95,0.002431470094343819
2013,96,0.0023831196287308117
2013,97,0.002335996804426814
2013,98,0.002290063560477603
2013,99,0.0022452832250631485
2013,100,0.002201620457697909
2013,101,0.0021590411940873495
2013,102,0.0021175125935108375
2013,103,0.0020770029886075098
2013,104,0.002037481837447712
2013,105,0.0019989196777784306
2013,106,0.0019612880833367536
2013,107,0.0019245596221306308
2013,108,0.0018887078165912966
2013,109,0.0018537071055065417
2013,110,0.0018195328076485568
2013,111,0.001786161087014519
2013,112,0.0017535689196021154
2013,113,0.0017217340616462711
2013,114,0.0016906350192469695
2013,115,0.0016602510193216794
2013,116,0.0016305619818192446
2013,117,0.0016015484931352839
2013,118,0.0015731917806722053
2013,119,0.0015454736884897688
2013,120,0.0015183766539949087
2013,121,0.001491883685622079
2013,122,0.0014659783414578446
2013,123,0.0014406447087657503
2013,124,0.0014158673843697226
2013,125,0.0013916314558563405
2013,126,0.0013679224835582483
2013,127,0.0013447264832829172
2013,128,0.001322029909752706
2013,129,0.0012998196407238336
2013,130,0.0012780829617535239
2013,131,0.0012568075515860355
2013,132,0.0012359814681297719
2013,133,0.0012155931349989932
2013,134,0.0011956313285949552
2013,135,0.001176085165702507
2013,136,0.0011569440915793652
2013,137,0.0011381978685163442
2013,138,0.0011198365648478895
2013,139,0.0011018505443932479
2013,140,0.0010842304563095228
2013,141,0.0010669672253387922
2013,142,0.0010500520424322729
2013,143,0.0010334763557353329
2013,144,0.0010172318619179196
2013,145,0.0010013104978356942
2013,146,9.857044325078186e-4
2013,147,9.704060593980499e-4
2013,148,9.55407988986353e-4
2013,149,9.407030416188824e-4
2013,150,9.262842406247095e-4
2013,151,9.121448056882169e-4
2013,152,8.982781464665868e-4
2013,153,8.846778564422825e-4
2013,154,8.71337707000887e-4
2013,155,8.58251641725094e-4
2013,156,8.454137708960527e-4
2013,157,8.328183661936739e-4
2013,158,8.204598555878672e-4
2013,159,8.083328184130428e-4
2013,160,7.96431980618542e-4
2013,161,7.847522101879866e-4
2013,162,7.732885127208615e-4
2013,163,7.620360271698899e-4
2013,164,7.509900217281062e-4
2013,165,7.401458898597347e-4
